trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,1.235510,1,1.221588,-0.320000,0.508889,0.000000,0.000000,0.000000,49
1,0.383308,1,1.481923,-0.311250,0.520000,0.000000,0.000000,0.000000,1
2,0.569441,1,1.081411,0.288750,0.484444,0.000000,0.000000,0.000000,55
3,0.255446,1,1.261675,-0.332500,0.497778,0.000000,0.000000,0.000000,46
4,0.651463,1,1.081454,-0.297500,0.542222,0.000000,0.000000,0.000000,54
5,0.477419,1,1.141486,-0.288750,0.508889,0.000000,0.000000,0.000000,33
6,0.695428,-1,1.141448,-0.278750,0.446667,0.000000,0.000000,0.000000,53
7,0.589390,0,1.141392,-0.295000,0.544444,0.721752,0.287500,0.497778,54
8,0.473442,1,1.381891,0.293750,0.484444,0.000000,0.000000,0.000000,50
9,0.075339,1,1.281651,0.315000,0.544444,0.000000,0.000000,0.000000,29
10,0.239414,1,0.761012,-0.297500,0.493333,0.000000,0.000000,0.000000,55
11,0.289415,1,1.201546,0.293750,0.482222,0.000000,0.000000,0.000000,53
12,0.017414,1,1.762281,0.313750,0.515556,0.000000,0.000000,0.000000,1
13,0.319294,1,0.700940,0.301250,0.484444,0.000000,0.000000,0.000000,55
14,0.203436,1,1.281689,-0.315000,0.544444,0.000000,0.000000,0.000000,50
15,0.333418,0,1.341738,0.305000,0.506667,0.460969,-0.332500,0.522222,25
16,0.243392,1,1.962516,-0.300000,0.482222,0.000000,0.000000,0.000000,1
17,0.713402,1,1.321666,0.297500,0.520000,0.000000,0.000000,0.000000,49
18,0.415445,1,1.181553,-0.291250,0.473333,0.000000,0.000000,0.000000,52
19,0.303090,1,1.502030,0.278750,0.497778,0.000000,0.000000,0.000000,49
20,0.293298,1,1.221618,-0.310000,0.511111,0.000000,0.000000,0.000000,51
21,0.467411,1,1.181501,0.310000,0.488889,0.000000,0.000000,0.000000,49
22,0.149431,-1,0.841052,-0.300000,0.562222,0.000000,0.000000,0.000000,57
23,0.623185,1,0.901194,0.295000,0.464444,0.000000,0.000000,0.000000,55
24,0.415413,1,0.781084,-0.331250,0.513333,0.000000,0.000000,0.000000,53
25,0.403461,1,0.861213,-0.315000,0.475556,0.000000,0.000000,0.000000,54
26,0.599444,-1,1.142581,-0.293750,0.582222,0.000000,0.000000,0.000000,54
27,0.343285,0,1.181606,-0.300000,0.517778,0.240474,0.307500,0.535556,52
28,0.413200,1,1.021367,0.321250,0.486667,0.000000,0.000000,0.000000,51
29,0.369389,1,0.941255,0.310000,0.542222,0.000000,0.000000,0.000000,53
30,0.361383,1,0.941248,-0.322500,0.511111,0.000000,0.000000,0.000000,7
31,0.569228,1,1.161577,0.282500,0.480000,0.000000,0.000000,0.000000,54
32,0.391377,1,0.961256,0.325000,0.468889,0.000000,0.000000,0.000000,50
33,0.297378,1,0.821147,0.282500,0.531111,0.000000,0.000000,0.000000,58
34,0.103275,1,0.961325,-0.301250,0.477778,0.000000,0.000000,0.000000,52
35,0.349098,1,1.001343,0.295000,0.462222,0.000000,0.000000,0.000000,52
36,0.113154,1,0.901260,0.300000,0.488889,0.000000,0.000000,0.000000,34
37,0.113309,1,0.941333,0.291250,0.475556,0.000000,0.000000,0.000000,55
38,0.297268,1,0.841183,-0.275000,0.473333,0.000000,0.000000,0.000000,58
39,0.203308,-1,1.161574,0.238750,0.540000,0.000000,0.000000,0.000000,16
40,0.317425,1,0.921226,0.275000,0.471111,0.000000,0.000000,0.000000,58
41,0.333382,-1,1.281633,-0.310000,0.557778,0.000000,0.000000,0.000000,34
42,0.755125,1,1.241654,-0.331250,0.462222,0.000000,0.000000,0.000000,47
43,0.305198,1,1.141477,0.281250,0.480000,0.000000,0.000000,0.000000,54
44,0.359366,1,1.041397,-0.321250,0.535556,0.000000,0.000000,0.000000,52
45,0.639306,1,1.401821,0.288750,0.535556,0.000000,0.000000,0.000000,49
46,0.689369,-1,1.361756,-0.261250,0.466667,0.000000,0.000000,0.000000,26
47,0.535372,1,0.841151,-0.323750,0.502222,0.000000,0.000000,0.000000,54
48,0.385364,1,1.001230,-0.312500,0.508889,0.000000,0.000000,0.000000,54
49,0.401393,1,0.881165,-0.298750,0.462222,0.000000,0.000000,0.000000,53
50,0.315387,-1,1.161524,0.273750,0.562222,0.000000,0.000000,0.000000,56
51,0.321374,0,0.981347,-0.305000,0.531111,1.021979,0.308750,0.500000,53
52,0.373396,-1,1.501978,0.311250,0.435556,0.000000,0.000000,0.000000,45
53,0.437386,1,1.121431,-0.311250,0.531111,0.000000,0.000000,0.000000,52
54,0.367383,1,1.441870,0.291250,0.457778,0.000000,0.000000,0.000000,47
55,1.113382,1,1.221630,0.286250,0.506667,0.000000,0.000000,0.000000,54
56,0.401553,1,1.401795,0.306250,0.466667,0.000000,0.000000,0.000000,49
57,0.407240,-1,1.061409,-0.320000,0.551111,0.000000,0.000000,0.000000,51
58,0.431349,0,1.521991,0.295000,0.482222,0.181073,-0.281250,0.500000,47
59,0.365350,1,0.961330,0.317500,0.520000,0.000000,0.000000,0.000000,52
60,0.385267,0,1.241684,0.282500,0.495556,0.601396,-0.310000,0.526667,53
61,0.397165,1,1.121495,-0.276250,0.533333,0.000000,0.000000,0.000000,57
62,0.469377,1,1.081416,0.313750,0.495556,0.000000,0.000000,0.000000,51
63,0.337241,1,1.241663,0.307500,0.451111,0.000000,0.000000,0.000000,49
64,0.269183,1,1.061403,0.318750,0.511111,0.000000,0.000000,0.000000,53
65,0.439026,1,1.261630,0.267500,0.493333,0.000000,0.000000,0.000000,54
66,0.622995,1,1.462013,0.302500,0.535556,0.000000,0.000000,0.000000,51
67,0.295247,1,0.861225,0.312500,0.508889,0.000000,0.000000,0.000000,53
68,0.503225,1,1.281755,-0.310000,0.540000,0.000000,0.000000,0.000000,1
69,0.429311,1,1.402148,-0.307500,0.484444,0.000000,0.000000,0.000000,49
70,0.463321,1,0.921221,0.297500,0.500000,0.000000,0.000000,0.000000,54
71,0.325135,1,1.201626,-0.303750,0.473333,0.000000,0.000000,0.000000,49
72,0.333173,0,1.081435,-0.278750,0.495556,0.380954,0.285000,0.488889,54
73,0.367170,1,1.241659,-0.287500,0.502222,0.000000,0.000000,0.000000,52
74,0.401195,1,1.201522,0.306250,0.480000,0.000000,0.000000,0.000000,50
75,0.399282,-1,1.161477,-0.335000,0.542222,0.000000,0.000000,0.000000,50
76,0.990975,1,1.281630,-0.310000,0.486667,0.000000,0.000000,0.000000,49
77,0.559366,0,1.081376,0.308750,0.471111,0.420590,-0.311250,0.502222,51
78,0.403274,1,1.021398,-0.302500,0.506667,0.000000,0.000000,0.000000,53
79,0.334984,1,1.141475,-0.315000,0.493333,0.000000,0.000000,0.000000,49
80,0.389030,1,1.141495,-0.287500,0.502222,0.000000,0.000000,0.000000,53
81,0.547148,1,0.861118,-0.290000,0.484444,0.000000,0.000000,0.000000,57
82,0.437126,1,1.021342,-0.270000,0.495556,0.000000,0.000000,0.000000,58
83,0.259232,1,1.441859,-0.282500,0.511111,0.000000,0.000000,0.000000,1
84,0.507320,1,1.081411,-0.297500,0.471111,0.000000,0.000000,0.000000,55
85,0.337061,1,0.981290,0.286250,0.488889,0.000000,0.000000,0.000000,55
86,0.283187,1,1.521920,0.307500,0.544444,0.000000,0.000000,0.000000,50
87,0.353245,-1,1.001323,0.305000,0.557778,0.000000,0.000000,0.000000,56
88,1.715240,1,1.101518,-0.332500,0.511111,0.000000,0.000000,0.000000,50
89,0.539150,1,0.981367,0.291250,0.462222,0.000000,0.000000,0.000000,53
90,0.419202,1,0.841092,0.283750,0.480000,0.000000,0.000000,0.000000,57
91,0.457037,1,1.281713,-0.276250,0.473333,0.000000,0.000000,0.000000,53
92,0.503296,1,0.981324,-0.285000,0.493333,0.000000,0.000000,0.000000,58
93,0.411173,1,1.241718,-0.290000,0.493333,0.000000,0.000000,0.000000,52
94,0.395195,1,1.241662,-0.330000,0.486667,0.000000,0.000000,0.000000,1
95,0.155263,1,1.041414,0.278750,0.484444,0.000000,0.000000,0.000000,52
96,0.223022,0,1.181489,-0.276250,0.468889,0.120292,0.288750,0.515556,54
97,0.203181,1,1.041398,-0.306250,0.528889,0.000000,0.000000,0.000000,54
98,0.395134,1,1.421856,0.266250,0.515556,0.000000,0.000000,0.000000,1
99,0.359256,1,1.081447,-0.315000,0.520000,0.000000,0.000000,0.000000,52
100,0.183177,0,1.001287,0.285000,0.491111,0.481310,-0.285000,0.500000,56
101,0.161226,1,0.841104,0.282500,0.488889,0.000000,0.000000,0.000000,58
102,0.279250,0,1.081432,-0.282500,0.500000,0.120321,0.307500,0.491111,57
103,0.415202,0,0.961278,0.267500,0.468889,0.100364,-0.311250,0.517778,58
104,0.329194,1,1.041318,-0.282500,0.497778,0.000000,0.000000,0.000000,57
105,0.225266,1,1.201561,0.323750,0.500000,0.000000,0.000000,0.000000,1
106,0.255145,1,1.241613,-0.280000,0.495556,0.000000,0.000000,0.000000,54
107,0.087203,1,1.201673,0.320000,0.506667,0.000000,0.000000,0.000000,50
108,0.257180,1,0.961224,0.295000,0.502222,0.000000,0.000000,0.000000,54
109,0.359191,1,1.061477,-0.311250,0.511111,0.000000,0.000000,0.000000,52
110,0.101162,1,1.021283,-0.328750,0.491111,0.000000,0.000000,0.000000,50
111,0.315201,1,0.981239,-0.315000,0.497778,0.000000,0.000000,0.000000,52
112,0.223125,1,0.921098,-0.317500,0.486667,0.000000,0.000000,0.000000,51
113,0.523190,1,1.321690,0.290000,0.486667,0.000000,0.000000,0.000000,50
114,0.341199,1,1.161410,0.286250,0.504444,0.000000,0.000000,0.000000,54
115,0.299054,1,0.981213,0.281250,0.513333,0.000000,0.000000,0.000000,56
116,0.301297,1,1.261535,-0.335000,0.515556,0.000000,0.000000,0.000000,18
117,0.427140,1,1.101351,0.298750,0.453333,0.000000,0.000000,0.000000,50
118,0.363163,1,0.881074,-0.305000,0.500000,0.000000,0.000000,0.000000,55
119,0.343146,1,2.002511,0.320000,0.522222,0.000000,0.000000,0.000000,1
120,0.373217,1,1.021333,0.318750,0.482222,0.000000,0.000000,0.000000,51
121,0.301114,1,1.261525,0.292500,0.480000,0.000000,0.000000,0.000000,50
122,0.227095,1,1.181483,-0.301250,0.493333,0.000000,0.000000,0.000000,53
123,0.161182,1,1.021239,-0.292500,0.482222,0.000000,0.000000,0.000000,52
124,0.233196,1,0.901169,-0.298750,0.484444,0.000000,0.000000,0.000000,54
125,0.373161,1,0.841144,-0.317500,0.466667,0.000000,0.000000,0.000000,53
126,0.241210,1,0.781011,-0.291250,0.506667,0.000000,0.000000,0.000000,58
127,0.075167,1,0.760973,0.285000,0.515556,0.000000,0.000000,0.000000,56
128,0.351188,1,1.221494,-0.293750,0.513333,0.000000,0.000000,0.000000,52
129,0.259065,1,1.481768,0.306250,0.473333,0.000000,0.000000,0.000000,46
130,0.235161,-1,1.341625,0.336250,0.573333,0.000000,0.000000,0.000000,7
131,0.373116,1,1.101269,-0.302500,0.504444,0.000000,0.000000,0.000000,52
132,0.561149,1,1.041370,-0.331250,0.517778,0.000000,0.000000,0.000000,52
133,0.243085,1,0.801020,-0.287500,0.497778,0.000000,0.000000,0.000000,57
134,0.329154,1,1.321594,-0.302500,0.480000,0.000000,0.000000,0.000000,50
135,0.245080,1,1.021196,0.297500,0.482222,0.000000,0.000000,0.000000,54
136,0.187171,1,1.101335,0.273750,0.471111,0.000000,0.000000,0.000000,54
137,0.361153,1,1.061360,0.291250,0.506667,0.000000,0.000000,0.000000,55
138,0.351087,1,1.061382,-0.288750,0.495556,0.000000,0.000000,0.000000,53
139,0.315079,1,0.921223,0.297500,0.524444,0.000000,0.000000,0.000000,53
140,0.265148,1,1.021221,-0.311250,0.526667,0.000000,0.000000,0.000000,51
141,0.247107,1,1.241517,0.272500,0.500000,0.000000,0.000000,0.000000,54
142,0.429084,0,1.001248,-0.306250,0.531111,0.160256,0.277500,0.542222,56
143,0.041096,1,1.361672,-0.263750,0.468889,0.000000,0.000000,0.000000,52
144,0.209090,1,1.081477,-0.303750,0.504444,0.000000,0.000000,0.000000,52
145,0.229101,1,0.861150,0.282500,0.471111,0.000000,0.000000,0.000000,58
146,0.207031,1,0.841132,0.322500,0.513333,0.000000,0.000000,0.000000,53
147,0.147074,1,1.161444,0.305000,0.522222,0.000000,0.000000,0.000000,49
148,0.389127,0,1.301576,0.295000,0.488889,0.020069,-0.313750,0.526667,51
149,0.305011,1,1.061287,-0.293750,0.473333,0.000000,0.000000,0.000000,53
150,0.203040,1,0.841055,0.295000,0.531111,0.000000,0.000000,0.000000,57
151,0.111052,0,1.381711,-0.338750,0.473333,0.040093,0.311250,0.542222,1
152,0.222950,0,1.021307,-0.295000,0.508889,0.060188,0.318750,0.482222,55
153,0.217099,1,1.041369,0.307500,0.526667,0.000000,0.000000,0.000000,54
154,0.304680,1,1.361749,-0.286250,0.506667,0.000000,0.000000,0.000000,53
155,0.193007,1,1.161436,0.295000,0.475556,0.000000,0.000000,0.000000,51
156,0.383116,1,1.241646,-0.288750,0.542222,0.000000,0.000000,0.000000,55
157,0.255006,1,1.141554,0.268750,0.491111,0.000000,0.000000,0.000000,55
158,0.152892,1,1.081428,0.306250,0.504444,0.000000,0.000000,0.000000,53
159,0.209010,1,1.521824,0.332500,0.464444,0.000000,0.000000,0.000000,42
160,0.171023,1,1.181461,-0.315000,0.526667,0.000000,0.000000,0.000000,52
161,0.319034,1,0.881194,-0.281250,0.502222,0.000000,0.000000,0.000000,56
162,0.273014,1,0.820996,0.302500,0.528889,0.000000,0.000000,0.000000,54
163,0.251051,1,0.821029,0.290000,0.515556,0.000000,0.000000,0.000000,55
164,0.224982,1,0.841048,-0.278750,0.526667,0.000000,0.000000,0.000000,57
165,0.125092,1,0.780962,0.283750,0.511111,0.000000,0.000000,0.000000,57
166,0.213107,0,1.622108,0.303750,0.462222,0.440612,-0.283750,0.553333,46
167,0.223040,1,1.201569,-0.310000,0.500000,0.000000,0.000000,0.000000,1
168,0.337065,1,1.061340,-0.313750,0.515556,0.000000,0.000000,0.000000,52
169,0.223065,0,1.782199,-0.292500,0.524444,0.020143,0.287500,0.506667,48
170,0.269068,1,0.760949,-0.320000,0.495556,0.000000,0.000000,0.000000,53
171,0.108966,1,0.921205,-0.283750,0.504444,0.000000,0.000000,0.000000,56
172,0.353003,1,2.082626,0.287500,0.455556,0.000000,0.000000,0.000000,1
173,0.171009,1,1.281612,0.320000,0.508889,0.000000,0.000000,0.000000,48
174,0.085055,0,1.081321,-0.321250,0.504444,0.180620,0.277500,0.506667,51
175,0.220959,0,1.301670,0.341250,0.515556,0.721091,-0.296250,0.497778,49
176,0.166885,1,0.961247,-0.300000,0.486667,0.000000,0.000000,0.000000,54
177,0.036978,1,0.841199,-0.283750,0.506667,0.000000,0.000000,0.000000,57
178,0.189043,1,0.861126,0.311250,0.504444,0.000000,0.000000,0.000000,53
179,0.256977,1,0.821052,-0.273750,0.522222,0.000000,0.000000,0.000000,58
180,0.152723,1,0.921231,-0.323750,0.517778,0.000000,0.000000,0.000000,53
181,0.084987,0,1.461938,-0.326250,0.488889,0.140307,0.291250,0.562222,48
182,0.141057,1,1.381747,0.286250,0.526667,0.000000,0.000000,0.000000,52
183,0.355069,1,1.001311,0.300000,0.502222,0.000000,0.000000,0.000000,53
184,0.041012,1,1.161535,0.296250,0.520000,0.000000,0.000000,0.000000,52
185,0.304965,1,1.161523,-0.322500,0.500000,0.000000,0.000000,0.000000,48
186,0.947006,-1,1.061432,0.321250,0.566667,0.000000,0.000000,0.000000,52
187,0.326954,1,0.700946,0.297500,0.506667,0.000000,0.000000,0.000000,55
188,0.354938,0,1.381824,-0.286250,0.484444,0.020079,0.297500,0.497778,51
189,0.154515,1,1.201505,0.315000,0.500000,0.000000,0.000000,0.000000,50
190,0.157041,1,1.281647,-0.270000,0.482222,0.000000,0.000000,0.000000,56
191,0.116977,1,0.941169,0.305000,0.504444,0.000000,0.000000,0.000000,53
192,0.140926,1,1.341842,-0.322500,0.511111,0.000000,0.000000,0.000000,49
193,0.093045,1,1.542912,0.303750,0.506667,0.000000,0.000000,0.000000,49
194,0.340959,1,0.941212,-0.322500,0.508889,0.000000,0.000000,0.000000,51
195,0.059019,1,0.941199,-0.315000,0.488889,0.000000,0.000000,0.000000,52
196,0.293004,1,1.141440,-0.303750,0.533333,0.000000,0.000000,0.000000,19
197,0.118994,1,1.081417,-0.318750,0.488889,0.000000,0.000000,0.000000,49
198,0.186969,1,0.981179,0.321250,0.484444,0.000000,0.000000,0.000000,50
199,0.000220,1,1.141463,-0.281250,0.515556,0.000000,0.000000,0.000000,54
200,0.212862,1,1.141540,-0.285000,0.471111,0.000000,0.000000,0.000000,54
201,0.210982,1,1.041322,-0.287500,0.520000,0.000000,0.000000,0.000000,57
202,0.122989,1,0.921134,0.322500,0.537778,0.000000,0.000000,0.000000,52
203,0.266952,1,0.841111,0.293750,0.484444,0.000000,0.000000,0.000000,56
204,0.262998,1,0.861048,0.321250,0.493333,0.000000,0.000000,0.000000,53
205,0.222959,-1,1.141456,-0.328750,0.551111,0.000000,0.000000,0.000000,49
206,0.212994,1,1.121372,0.267500,0.488889,0.000000,0.000000,0.000000,53
207,0.072995,1,1.081378,0.276250,0.506667,0.000000,0.000000,0.000000,57
208,0.084939,1,1.281633,0.308750,0.502222,0.000000,0.000000,0.000000,31
209,0.254935,1,1.041286,-0.307500,0.528889,0.000000,0.000000,0.000000,52
210,0.370962,1,1.121638,-0.270000,0.464444,0.000000,0.000000,0.000000,54
211,0.326851,1,1.561983,-0.283750,0.531111,0.000000,0.000000,0.000000,50
212,0.244887,1,1.001208,-0.291250,0.517778,0.000000,0.000000,0.000000,55
213,0.154974,1,0.981179,-0.315000,0.484444,0.000000,0.000000,0.000000,53
214,0.274862,1,1.061400,0.278750,0.493333,0.000000,0.000000,0.000000,55
215,0.284973,1,2.463086,0.306250,0.495556,0.000000,0.000000,0.000000,8
216,0.288963,1,0.981198,-0.325000,0.511111,0.000000,0.000000,0.000000,51
217,0.148571,1,0.921128,-0.300000,0.480000,0.000000,0.000000,0.000000,53
218,0.124961,1,0.921209,-0.280000,0.500000,0.000000,0.000000,0.000000,56
219,0.436942,1,1.261544,0.311250,0.515556,0.000000,0.000000,0.000000,49
220,0.228958,1,0.961202,-0.310000,0.484444,0.000000,0.000000,0.000000,54
