trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.737586,1,1.061408,0.308750,0.484444,0.000000,0.000000,0.000000,53
1,0.351584,1,0.660891,0.282500,0.495556,0.000000,0.000000,0.000000,34
2,0.567558,1,0.720978,-0.292500,0.497778,0.000000,0.000000,0.000000,55
3,0.457608,1,1.762378,-0.262500,0.493333,0.000000,0.000000,0.000000,1
4,0.701589,1,1.001267,-0.270000,0.504444,0.000000,0.000000,0.000000,1
5,0.387482,1,0.981356,0.283750,0.502222,0.000000,0.000000,0.000000,44
6,0.571327,1,0.901275,-0.285000,0.493333,0.000000,0.000000,0.000000,58
7,0.437580,1,1.582123,0.326250,0.466667,0.000000,0.000000,0.000000,36
8,0.469583,1,1.241616,-0.281250,0.513333,0.000000,0.000000,0.000000,19
9,0.351677,1,0.961240,0.310000,0.546667,0.000000,0.000000,0.000000,54
10,0.311583,1,0.700973,0.281250,0.511111,0.000000,0.000000,0.000000,60
11,0.051586,1,0.781063,0.280000,0.544444,0.000000,0.000000,0.000000,58
12,0.283570,1,0.721032,-0.288750,0.517778,0.000000,0.000000,0.000000,58
13,0.587199,1,0.961294,-0.268750,0.495556,0.000000,0.000000,0.000000,54
14,0.429281,0,0.720993,0.293750,0.520000,3.000013,0.006250,-0.793333,51
15,0.587553,1,1.081384,0.287500,0.495556,0.000000,0.000000,0.000000,1
16,0.629542,1,0.821151,0.295000,0.506667,0.000000,0.000000,0.000000,49
17,0.481516,1,0.640946,0.293750,0.517778,0.000000,0.000000,0.000000,57
18,0.331602,1,0.741054,0.292500,0.517778,0.000000,0.000000,0.000000,53
19,0.301529,1,0.921304,-0.310000,0.486667,0.000000,0.000000,0.000000,17
20,0.253538,-1,0.901240,0.263750,0.553333,0.000000,0.000000,0.000000,61
21,0.461531,1,1.021381,-0.306250,0.535556,0.000000,0.000000,0.000000,27
22,0.285586,1,0.901186,-0.273750,0.515556,0.000000,0.000000,0.000000,59
23,0.421578,1,1.061395,0.317500,0.495556,0.000000,0.000000,0.000000,51
24,0.475549,1,1.321717,0.281250,0.506667,0.000000,0.000000,0.000000,53
25,0.423404,1,1.101482,-0.326250,0.480000,0.000000,0.000000,0.000000,50
26,0.381508,1,1.001259,0.300000,0.493333,0.000000,0.000000,0.000000,53
27,0.431340,0,1.421860,-0.275000,0.511111,3.000021,0.015000,-0.806667,52
28,0.355535,1,1.201658,-0.325000,0.493333,0.000000,0.000000,0.000000,2
29,0.317327,1,1.041465,0.282500,0.511111,0.000000,0.000000,0.000000,53
30,0.433507,1,1.902581,0.312500,0.511111,0.000000,0.000000,0.000000,1
31,0.473488,1,1.522038,-0.307500,0.484444,0.000000,0.000000,0.000000,1
32,0.403369,1,0.961249,0.295000,0.524444,0.000000,0.000000,0.000000,53
33,0.347473,1,1.361786,-0.308750,0.493333,0.000000,0.000000,0.000000,1
34,0.395514,1,0.801041,-0.275000,0.537778,0.000000,0.000000,0.000000,61
35,0.374933,1,0.660876,0.282500,0.506667,0.000000,0.000000,0.000000,48
36,0.255505,1,1.021384,-0.273750,0.495556,0.000000,0.000000,0.000000,45
37,0.373266,1,0.981284,-0.296250,0.544444,0.000000,0.000000,0.000000,38
38,0.361068,1,0.881204,-0.331250,0.482222,0.000000,0.000000,0.000000,52
39,0.223401,1,0.901263,-0.310000,0.493333,0.000000,0.000000,0.000000,55
40,0.363490,1,0.881179,-0.308750,0.500000,0.000000,0.000000,0.000000,53
41,0.213505,1,0.741022,0.266250,0.522222,0.000000,0.000000,0.000000,18
42,0.347463,0,0.821107,-0.310000,0.517778,3.000003,0.036250,-0.782222,55
43,0.271196,0,1.301730,0.271250,0.515556,3.000018,0.000000,-0.826667,52
44,0.539406,1,2.222935,0.300000,0.535556,0.000000,0.000000,0.000000,1
45,0.323111,1,1.081501,0.291250,0.491111,0.000000,0.000000,0.000000,20
46,0.475227,0,1.902456,-0.267500,0.488889,0.361061,-0.030000,-0.173333,1
47,0.457470,1,0.700993,0.311250,0.484444,0.000000,0.000000,0.000000,55
48,0.363447,1,1.361825,-0.278750,0.504444,0.000000,0.000000,0.000000,1
49,0.385067,1,1.141547,-0.308750,0.506667,0.000000,0.000000,0.000000,52
50,0.347362,1,1.061371,-0.298750,0.493333,0.000000,0.000000,0.000000,52
51,0.543230,1,1.441964,0.295000,0.506667,0.000000,0.000000,0.000000,50
52,0.441449,1,1.121427,0.280000,0.508889,0.000000,0.000000,0.000000,49
53,0.881278,1,0.941336,0.285000,0.486667,0.000000,0.000000,0.000000,54
54,0.297434,0,1.241696,-0.282500,0.502222,0.140782,0.032500,-0.362222,15
55,0.325464,1,1.281771,-0.296250,0.480000,0.000000,0.000000,0.000000,35
56,0.527406,1,1.141487,0.288750,0.482222,0.000000,0.000000,0.000000,51
57,0.183009,1,0.941311,-0.286250,0.513333,0.000000,0.000000,0.000000,57
58,0.409319,1,0.861229,-0.297500,0.515556,0.000000,0.000000,0.000000,56
59,0.359444,1,1.081437,0.281250,0.515556,0.000000,0.000000,0.000000,55
60,0.315103,1,1.041352,-0.292500,0.486667,0.000000,0.000000,0.000000,41
61,0.348818,1,1.301683,0.302500,0.508889,0.000000,0.000000,0.000000,33
62,0.325403,1,1.081424,0.297500,0.504444,0.000000,0.000000,0.000000,54
63,0.245065,0,1.361748,0.308750,0.520000,0.020238,0.217500,0.080000,50
64,0.189424,1,0.981309,-0.311250,0.491111,0.000000,0.000000,0.000000,53
65,0.439401,1,0.861209,0.303750,0.504444,0.000000,0.000000,0.000000,54
66,1.379231,1,0.981254,0.307500,0.511111,0.000000,0.000000,0.000000,55
67,0.381373,1,1.121468,0.306250,0.493333,0.000000,0.000000,0.000000,1
68,0.675394,1,1.161576,0.288750,0.508889,0.000000,0.000000,0.000000,38
69,0.201394,1,1.101427,-0.280000,0.491111,0.000000,0.000000,0.000000,55
70,0.205298,1,1.041420,-0.313750,0.533333,0.000000,0.000000,0.000000,53
71,0.369092,1,0.961220,-0.300000,0.502222,0.000000,0.000000,0.000000,54
72,0.485379,1,0.921232,-0.277500,0.502222,0.000000,0.000000,0.000000,58
73,0.269244,1,0.861168,-0.297500,0.493333,0.000000,0.000000,0.000000,56
74,0.217369,1,0.720977,0.315000,0.517778,0.000000,0.000000,0.000000,54
75,0.229367,1,2.503208,-0.287500,0.506667,0.000000,0.000000,0.000000,1
76,0.389379,1,0.881140,0.306250,0.511111,0.000000,0.000000,0.000000,53
77,0.348956,1,1.061383,-0.310000,0.482222,0.000000,0.000000,0.000000,52
78,1.057353,1,0.901213,-0.310000,0.497778,0.000000,0.000000,0.000000,53
79,0.363334,1,0.781051,-0.307500,0.506667,0.000000,0.000000,0.000000,54
80,0.609356,1,1.261786,0.296250,0.508889,0.000000,0.000000,0.000000,51
81,0.247329,1,1.081441,-0.301250,0.508889,0.000000,0.000000,0.000000,53
82,0.327232,1,0.781093,-0.287500,0.497778,0.000000,0.000000,0.000000,58
83,0.285345,1,0.700939,-0.311250,0.497778,0.000000,0.000000,0.000000,56
84,0.000232,1,0.861155,0.325000,0.522222,0.000000,0.000000,0.000000,17
85,0.331353,1,0.981375,0.281250,0.522222,0.000000,0.000000,0.000000,13
86,0.397276,0,1.201611,-0.287500,0.482222,0.020572,0.267500,0.484444,53
87,0.274815,1,1.021445,0.292500,0.462222,0.000000,0.000000,0.000000,52
88,0.295380,1,1.161528,-0.281250,0.508889,0.000000,0.000000,0.000000,1
89,0.487169,1,1.001301,-0.290000,0.504444,0.000000,0.000000,0.000000,55
90,0.029393,1,1.261628,-0.301250,0.475556,0.000000,0.000000,0.000000,52
91,0.993161,1,1.341776,-0.272500,0.506667,0.000000,0.000000,0.000000,45
92,0.277366,1,0.921251,-0.287500,0.486667,0.000000,0.000000,0.000000,56
93,0.141385,1,1.221648,-0.301250,0.517778,0.000000,0.000000,0.000000,12
94,0.759337,1,0.801096,0.292500,0.520000,0.000000,0.000000,0.000000,57
95,0.283310,1,0.620868,-0.290000,0.502222,0.000000,0.000000,0.000000,60
96,0.293375,1,0.761062,0.290000,0.528889,0.000000,0.000000,0.000000,5
97,0.195356,1,0.961253,0.306250,0.517778,0.000000,0.000000,0.000000,55
98,0.130952,1,0.921277,-0.301250,0.493333,0.000000,0.000000,0.000000,50
99,0.393458,1,0.801106,0.322500,0.511111,0.000000,0.000000,0.000000,45
100,0.279085,1,0.741071,-0.288750,0.486667,0.000000,0.000000,0.000000,28
101,0.223295,1,0.801121,0.300000,0.491111,0.000000,0.000000,0.000000,1
102,0.083346,1,0.921225,0.290000,0.493333,0.000000,0.000000,0.000000,55
103,0.115400,1,1.001355,-0.263750,0.497778,0.000000,0.000000,0.000000,58
104,0.169395,1,0.801113,-0.285000,0.497778,0.000000,0.000000,0.000000,60
105,0.055209,1,0.841198,0.312500,0.517778,0.000000,0.000000,0.000000,48
106,0.097093,1,0.720946,-0.291250,0.491111,0.000000,0.000000,0.000000,59
107,0.357121,1,0.720959,-0.297500,0.497778,0.000000,0.000000,0.000000,57
108,0.225213,1,1.722237,0.301250,0.517778,0.000000,0.000000,0.000000,1
109,0.155357,1,0.901193,-0.285000,0.482222,0.000000,0.000000,0.000000,55
110,0.328871,1,0.761009,-0.293750,0.508889,0.000000,0.000000,0.000000,57
111,0.021193,1,1.021342,-0.278750,0.491111,0.000000,0.000000,0.000000,57
112,0.299258,1,1.221653,0.305000,0.528889,0.000000,0.000000,0.000000,1
113,0.325331,1,1.201642,0.290000,0.504444,0.000000,0.000000,0.000000,26
114,0.279293,1,0.941271,0.305000,0.491111,0.000000,0.000000,0.000000,53
115,0.237220,1,1.041468,-0.277500,0.524444,0.000000,0.000000,0.000000,48
116,0.295296,1,1.381958,0.290000,0.511111,0.000000,0.000000,0.000000,1
117,0.171304,1,1.221639,-0.307500,0.480000,0.000000,0.000000,0.000000,42
118,0.281219,1,1.161454,0.292500,0.497778,0.000000,0.000000,0.000000,38
119,0.324954,1,1.341635,-0.280000,0.493333,0.000000,0.000000,0.000000,54
120,0.334983,1,0.801049,-0.260000,0.513333,0.000000,0.000000,0.000000,27
121,0.311226,1,2.342932,0.277500,0.513333,0.000000,0.000000,0.000000,1
122,0.365229,0,1.642166,-0.273750,0.511111,1.362070,0.138750,-0.033333,19
123,0.232696,1,0.961275,-0.283750,0.480000,0.000000,0.000000,0.000000,46
124,0.391122,1,1.321721,0.290000,0.504444,0.000000,0.000000,0.000000,1
125,0.347317,1,1.301674,0.307500,0.500000,0.000000,0.000000,0.000000,1
126,0.359327,1,0.901152,-0.312500,0.513333,0.000000,0.000000,0.000000,54
127,0.455183,1,1.421866,0.287500,0.500000,0.000000,0.000000,0.000000,1
128,0.399342,1,1.241610,-0.287500,0.486667,0.000000,0.000000,0.000000,53
129,0.819065,1,1.161481,0.313750,0.513333,0.000000,0.000000,0.000000,1
130,0.372990,1,1.181556,0.301250,0.486667,0.000000,0.000000,0.000000,43
131,0.301304,1,0.881182,0.286250,0.511111,0.000000,0.000000,0.000000,26
132,0.293276,1,1.521857,0.285000,0.477778,0.000000,0.000000,0.000000,1
133,0.277091,1,1.001284,0.332500,0.497778,0.000000,0.000000,0.000000,52
134,0.275275,1,0.741019,0.300000,0.508889,0.000000,0.000000,0.000000,55
135,0.333230,1,0.941188,-0.306250,0.480000,0.000000,0.000000,0.000000,4
136,0.155103,1,1.201466,-0.288750,0.493333,0.000000,0.000000,0.000000,50
137,0.242956,1,1.581946,-0.295000,0.493333,0.000000,0.000000,0.000000,49
138,0.169273,1,1.862368,0.298750,0.502222,0.000000,0.000000,0.000000,1
139,0.319197,1,1.482007,-0.285000,0.491111,0.000000,0.000000,0.000000,50
140,0.311256,1,1.341680,0.290000,0.491111,0.000000,0.000000,0.000000,50
141,0.233228,1,2.202789,-0.276250,0.511111,0.000000,0.000000,0.000000,1
142,0.327117,0,1.622062,0.312500,0.468889,0.100443,0.301250,0.228889,0
143,0.392872,1,1.001360,0.281250,0.515556,0.000000,0.000000,0.000000,55
144,0.259200,1,0.961244,0.317500,0.488889,0.000000,0.000000,0.000000,32
145,0.255242,1,2.122712,-0.285000,0.542222,0.000000,0.000000,0.000000,1
146,0.383137,1,1.001375,0.290000,0.500000,0.000000,0.000000,0.000000,55
147,0.209179,1,1.582096,-0.300000,0.513333,0.000000,0.000000,0.000000,1
148,0.135256,1,2.002894,0.302500,0.482222,0.000000,0.000000,0.000000,1
149,0.307048,1,0.881104,-0.287500,0.493333,0.000000,0.000000,0.000000,58
150,0.169189,1,1.281558,-0.290000,0.484444,0.000000,0.000000,0.000000,51
151,0.437222,1,1.441932,-0.282500,0.484444,0.000000,0.000000,0.000000,50
152,0.421175,1,1.061294,0.296250,0.497778,0.000000,0.000000,0.000000,1
153,0.699209,1,1.161471,-0.285000,0.506667,0.000000,0.000000,0.000000,1
154,0.215227,1,1.161517,-0.296250,0.515556,0.000000,0.000000,0.000000,41
155,0.297220,1,1.101387,0.297500,0.477778,0.000000,0.000000,0.000000,51
156,0.201233,1,0.800993,-0.272500,0.511111,0.000000,0.000000,0.000000,57
157,0.307117,1,0.941199,0.318750,0.504444,0.000000,0.000000,0.000000,36
158,0.439212,1,0.801134,0.306250,0.524444,0.000000,0.000000,0.000000,54
159,0.215165,1,1.041356,0.283750,0.491111,0.000000,0.000000,0.000000,17
160,0.277151,1,1.301745,0.321250,0.515556,0.000000,0.000000,0.000000,1
161,0.367224,1,1.101366,0.307500,0.508889,0.000000,0.000000,0.000000,53
162,0.159161,1,0.921191,0.293750,0.520000,0.000000,0.000000,0.000000,51
163,0.089183,1,0.801068,-0.290000,0.493333,0.000000,0.000000,0.000000,59
164,0.202980,1,1.301743,-0.317500,0.513333,0.000000,0.000000,0.000000,52
165,0.149012,1,0.801084,-0.298750,0.488889,0.000000,0.000000,0.000000,33
166,0.175122,1,0.680890,0.291250,0.497778,0.000000,0.000000,0.000000,55
167,0.194748,1,1.041359,-0.298750,0.533333,0.000000,0.000000,0.000000,55
168,0.154931,1,1.521997,0.290000,0.500000,0.000000,0.000000,0.000000,1
169,0.299121,1,0.941232,0.292500,0.511111,0.000000,0.000000,0.000000,54
170,0.243169,0,1.161501,-0.287500,0.491111,0.000000,0.000000,0.000000,19
171,0.683151,1,2.303166,0.306250,0.504444,0.000000,0.000000,0.000000,1
172,0.191167,1,1.261684,0.301250,0.537778,0.000000,0.000000,0.000000,1
173,0.345132,1,1.141457,0.308750,0.502222,0.000000,0.000000,0.000000,1
174,0.363173,1,1.461989,-0.283750,0.506667,0.000000,0.000000,0.000000,21
175,0.414693,1,0.981307,-0.283750,0.491111,0.000000,0.000000,0.000000,48
176,0.333187,1,0.640872,-0.291250,0.540000,0.000000,0.000000,0.000000,61
177,0.821118,1,1.081461,-0.290000,0.497778,0.000000,0.000000,0.000000,1
178,0.345178,1,1.181467,-0.283750,0.475556,0.000000,0.000000,0.000000,4
179,0.369067,1,1.722915,-0.295000,0.491111,0.000000,0.000000,0.000000,43
180,0.351048,1,1.542377,0.315000,0.500000,0.000000,0.000000,0.000000,1
181,0.835072,1,0.901179,-0.298750,0.491111,0.000000,0.000000,0.000000,55
182,0.253148,1,1.622173,0.320000,0.522222,0.000000,0.000000,0.000000,1
183,0.000499,1,0.721027,-0.307500,0.528889,0.000000,0.000000,0.000000,59
184,0.109163,1,0.700958,0.285000,0.511111,0.000000,0.000000,0.000000,57
185,0.247087,1,0.941256,0.295000,0.486667,0.000000,0.000000,0.000000,56
186,0.148851,1,2.042725,-0.295000,0.488889,0.000000,0.000000,0.000000,1
187,0.847129,1,0.881149,0.298750,0.520000,0.000000,0.000000,0.000000,57
188,0.293092,1,1.321741,-0.310000,0.473333,0.000000,0.000000,0.000000,1
