trialCt,rt,pos_x,pos_y
0,0.020029,-0.001250,-0.815556
0,0.040056,-0.001250,-0.815556
0,0.060086,-0.001250,-0.815556
0,0.080121,-0.001250,-0.815556
0,0.100153,-0.001250,-0.815556
0,0.120172,-0.001250,-0.815556
0,0.140199,-0.001250,-0.815556
0,0.160220,-0.001250,-0.815556
0,0.180238,-0.001250,-0.815556
0,0.200260,-0.001250,-0.815556
0,0.220283,-0.001250,-0.815556
0,0.240307,-0.001250,-0.815556
0,0.260328,-0.001250,-0.800000
0,0.280350,-0.001250,-0.784444
0,0.300377,-0.002500,-0.744444
0,0.320400,-0.002500,-0.706667
0,0.340432,-0.002500,-0.628889
0,0.360450,-0.003750,-0.566667
0,0.380471,-0.001250,-0.475556
0,0.400499,-0.001250,-0.415556
0,0.420526,-0.003750,-0.331111
0,0.440556,-0.010000,-0.275556
0,0.460579,-0.017500,-0.188889
0,0.480629,-0.022500,-0.131111
0,0.500671,-0.038750,-0.051111
0,0.520706,-0.053750,-0.002222
0,0.540764,-0.077500,0.051111
0,0.560812,-0.090000,0.073333
0,0.580839,-0.103750,0.097778
0,0.600867,-0.112500,0.115556
0,0.620991,-0.123750,0.137778
0,0.641011,-0.130000,0.162222
0,0.661030,-0.133750,0.204444
0,0.681049,-0.133750,0.231111
0,0.701077,-0.133750,0.264444
0,0.721107,-0.133750,0.282222
0,0.741131,-0.133750,0.304444
0,0.761156,-0.135000,0.317778
0,0.781485,-0.141250,0.342222
0,0.801512,-0.146250,0.366667
0,0.821531,-0.157500,0.391111
0,0.841555,-0.165000,0.402222
0,0.861579,-0.187500,0.428889
0,0.881600,-0.202500,0.444444
0,0.901636,-0.225000,0.464444
0,0.921664,-0.235000,0.473333
0,0.941685,-0.250000,0.482222
0,0.961729,-0.258750,0.488889
0,0.981760,-0.267500,0.488889
0,1.001783,-0.270000,0.493333
0,1.021812,-0.273750,0.495556
0,1.041834,-0.275000,0.497778
0,1.061864,-0.277500,0.502222
0,1.081888,-0.278750,0.502222
0,1.101917,-0.280000,0.502222
0,1.121946,-0.280000,0.502222
0,1.141970,-0.281250,0.504444
0,1.161997,-0.283750,0.504444
0,1.182021,-0.285000,0.504444
0,1.202048,-0.287500,0.504444
0,1.222080,-0.291250,0.506667
0,1.242104,-0.292500,0.506667
0,1.262132,-0.292500,0.506667
0,1.282157,-0.292500,0.506667
0,1.302184,-0.293750,0.506667
0,1.322211,-0.293750,0.506667
0,1.342237,-0.293750,0.506667
1,0.020034,-0.001250,-0.813333
1,0.040063,-0.001250,-0.813333
1,0.060095,-0.001250,-0.813333
1,0.080115,-0.001250,-0.813333
1,0.100141,-0.001250,-0.813333
1,0.120163,-0.001250,-0.813333
1,0.140191,-0.001250,-0.813333
1,0.160216,-0.001250,-0.813333
1,0.180235,-0.001250,-0.813333
1,0.200261,-0.001250,-0.813333
1,0.220288,-0.001250,-0.813333
1,0.240310,-0.001250,-0.813333
1,0.260331,-0.001250,-0.813333
1,0.280357,-0.001250,-0.813333
1,0.300384,-0.001250,-0.813333
1,0.320402,-0.001250,-0.813333
1,0.340437,-0.001250,-0.808889
1,0.360472,0.012500,-0.766667
1,0.380529,0.026250,-0.704444
1,0.400569,0.050000,-0.522222
1,0.420615,0.067500,-0.382222
1,0.440666,0.086250,-0.226667
1,0.460814,0.092500,-0.144444
1,0.480846,0.101250,-0.042222
1,0.500874,0.102500,0.008889
1,0.520902,0.102500,0.066667
1,0.540929,0.102500,0.100000
1,0.560959,0.100000,0.133333
1,0.580985,0.098750,0.148889
1,0.601084,0.092500,0.173333
1,0.621112,0.086250,0.186667
1,0.641137,0.076250,0.211111
1,0.661168,0.070000,0.228889
1,0.681198,0.060000,0.248889
1,0.701222,0.046250,0.273333
1,0.721246,0.012500,0.313333
1,0.741275,-0.013750,0.340000
1,0.761300,-0.060000,0.375556
1,0.781327,-0.093750,0.400000
1,0.801354,-0.151250,0.433333
1,0.821375,-0.185000,0.453333
1,0.841405,-0.225000,0.480000
1,0.861425,-0.243750,0.486667
1,0.881453,-0.265000,0.497778
1,0.901480,-0.272500,0.500000
1,0.921501,-0.277500,0.502222
1,0.941528,-0.278750,0.502222
1,0.961554,-0.280000,0.502222
1,0.981578,-0.281250,0.502222
1,1.001599,-0.288750,0.502222
1,1.021621,-0.293750,0.502222
1,1.041650,-0.297500,0.502222
1,1.061711,-0.298750,0.502222
1,1.081741,-0.302500,0.497778
1,1.101766,-0.302500,0.497778
1,1.121794,-0.303750,0.495556
1,1.141825,-0.303750,0.495556
1,1.161857,-0.303750,0.495556
1,1.181882,-0.303750,0.495556
1,1.201905,-0.303750,0.495556
1,1.221927,-0.303750,0.495556
1,1.241951,-0.303750,0.495556
1,1.261973,-0.303750,0.495556
1,1.281991,-0.303750,0.495556
